,deposit,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
776,yes,58,retired,married,tertiary,no,0,no,no,cellular,13,aug,641,4,-1,0,unknown
6349,no,54,management,married,tertiary,no,195,no,yes,cellular,4,feb,47,1,265,6,other
536,yes,41,technician,single,tertiary,no,145,no,no,cellular,22,jul,1833,2,-1,0,unknown
5480,no,45,retired,single,secondary,yes,86,no,no,cellular,21,nov,64,5,-1,0,unknown
1887,yes,37,blue-collar,married,primary,no,-106,yes,yes,cellular,12,may,690,1,-1,0,unknown
4241,yes,42,management,divorced,tertiary,no,1243,no,no,cellular,26,aug,1000,4,-1,0,unknown
10454,no,50,admin.,single,secondary,no,26,no,yes,telephone,24,jul,179,4,-1,0,unknown
183,yes,40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown
5265,yes,34,technician,married,tertiary,no,197,no,no,cellular,20,aug,78,3,-1,0,unknown
7172,no,26,blue-collar,married,primary,no,399,yes,no,cellular,22,jul,1288,2,-1,0,unknown
8305,no,48,retired,married,tertiary,no,4,no,yes,cellular,23,jul,70,5,-1,0,unknown
9721,no,32,blue-collar,married,secondary,no,320,yes,yes,cellular,3,feb,22,4,-1,0,unknown
7781,no,51,management,married,primary,yes,57,yes,yes,unknown,8,may,61,1,-1,0,unknown
616,yes,41,blue-collar,married,secondary,no,-190,no,yes,cellular,29,jul,808,3,-1,0,unknown
9310,no,50,technician,married,secondary,no,892,yes,yes,unknown,15,may,234,1,-1,0,unknown
4486,yes,35,management,single,tertiary,no,80,no,no,cellular,4,sep,434,2,94,1,other
8941,no,52,retired,married,secondary,no,0,no,no,cellular,22,aug,351,5,-1,0,unknown
4915,yes,32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,-1,0,unknown
7280,no,26,technician,single,secondary,no,84,yes,no,cellular,29,jul,70,3,-1,0,unknown
4156,yes,32,admin.,married,secondary,no,51,yes,yes,cellular,14,jan,203,1,87,2,other
6030,no,59,retired,married,secondary,no,2467,no,no,cellular,20,nov,972,2,-1,0,unknown
7593,no,44,technician,married,unknown,yes,-375,yes,yes,telephone,6,may,149,4,-1,0,unknown
4771,yes,21,blue-collar,married,primary,no,-172,yes,yes,cellular,15,may,409,1,361,3,failure
8128,no,45,services,divorced,secondary,no,396,yes,yes,cellular,1,apr,251,4,329,4,failure
6478,no,78,retired,divorced,unknown,no,2628,no,no,telephone,14,apr,129,2,-1,0,unknown
3676,yes,60,technician,married,secondary,no,259,no,no,cellular,6,jul,396,1,386,2,success
6139,no,46,admin.,divorced,secondary,no,875,yes,yes,cellular,11,may,269,3,353,2,failure
10972,no,28,technician,single,secondary,no,250,no,yes,cellular,29,jan,133,1,-1,0,unknown
10637,no,33,technician,married,secondary,no,218,yes,yes,telephone,2,mar,169,4,-1,0,unknown
6956,no,50,management,divorced,tertiary,no,201,yes,no,cellular,24,jul,248,1,-1,0,unknown
9458,no,37,management,married,tertiary,no,5016,no,no,cellular,8,aug,119,1,-1,0,unknown
194,yes,26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown
10075,no,29,admin.,single,secondary,no,382,yes,no,unknown,12,may,460,1,-1,0,unknown
2830,yes,52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure
1837,yes,51,admin.,married,secondary,no,3025,no,no,cellular,7,may,476,1,352,1,other
7476,no,55,admin.,married,secondary,no,512,no,no,cellular,18,aug,115,4,-1,0,unknown
390,yes,28,blue-collar,single,secondary,no,517,no,yes,cellular,8,jul,681,1,-1,0,unknown
1583,yes,65,retired,married,tertiary,no,1973,no,no,telephone,21,apr,396,3,-1,0,unknown
479,yes,42,services,married,secondary,no,3465,yes,yes,cellular,16,jul,1039,2,-1,0,unknown
1110,yes,33,entrepreneur,single,tertiary,no,300,yes,yes,cellular,30,jan,922,5,-1,0,unknown
6596,no,53,technician,married,secondary,no,100,no,no,cellular,13,aug,205,4,-1,0,unknown
11032,no,46,housemaid,married,primary,no,312,yes,yes,cellular,25,jul,137,7,-1,0,unknown
4935,yes,32,services,single,secondary,no,-198,yes,no,unknown,21,may,681,3,-1,0,unknown
4282,yes,27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,2,356,1,failure
9017,no,40,blue-collar,married,secondary,no,95,no,yes,unknown,20,jun,61,4,-1,0,unknown
3120,yes,34,admin.,married,tertiary,no,0,no,no,cellular,28,jan,155,2,-1,0,unknown
6797,no,49,management,married,tertiary,yes,-6847,no,yes,cellular,21,jul,206,1,-1,0,unknown
1530,yes,29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,323,3,failure
5887,no,48,entrepreneur,divorced,tertiary,no,0,yes,yes,unknown,20,jun,139,1,-1,0,unknown
5400,no,55,unknown,married,secondary,no,1157,no,no,cellular,12,jul,289,1,412,2,failure
4207,yes,37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,331,2,-1,0,unknown
3262,yes,32,management,married,tertiary,no,302,yes,yes,unknown,23,feb,61,1,384,2,failure
9520,no,35,self-employed,married,tertiary,yes,28,no,yes,cellular,8,jul,259,1,-1,0,unknown
235,yes,36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown
6992,no,40,housemaid,married,secondary,no,84,yes,yes,unknown,12,jun,230,7,-1,0,unknown
10285,no,51,services,married,primary,no,8806,yes,no,unknown,19,may,131,1,-1,0,unknown
8292,no,26,blue-collar,single,secondary,no,2669,yes,no,cellular,16,apr,242,1,-1,0,unknown
256,yes,37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown
1684,yes,37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown
11063,no,38,management,married,tertiary,no,590,no,no,cellular,31,jul,49,2,-1,0,unknown
10395,no,49,entrepreneur,married,secondary,no,-1965,no,yes,telephone,10,jul,317,2,-1,0,unknown
338,yes,54,services,married,unknown,no,386,no,yes,unknown,20,jun,838,1,-1,0,unknown
1005,yes,35,management,divorced,tertiary,no,141,no,yes,cellular,20,nov,728,1,-1,0,unknown
7469,no,34,technician,single,secondary,yes,103,yes,yes,cellular,24,jul,147,1,-1,0,unknown
6080,no,52,blue-collar,married,secondary,no,1500,no,yes,unknown,20,jun,109,3,-1,0,unknown
6319,no,44,admin.,married,secondary,yes,0,no,yes,unknown,30,jun,76,3,-1,0,unknown
5723,no,41,admin.,single,secondary,no,882,yes,yes,unknown,28,may,145,2,-1,0,unknown
5129,yes,44,housemaid,single,primary,no,1059,no,no,unknown,18,jun,2093,1,-1,0,unknown
6568,no,45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,-1,0,unknown
7134,no,58,housemaid,married,primary,no,1310,yes,yes,cellular,22,jul,1226,2,-1,0,unknown
4446,yes,31,admin.,single,tertiary,no,4041,no,no,cellular,30,apr,1034,2,-1,0,unknown
5664,no,40,housemaid,married,secondary,no,949,no,no,cellular,8,aug,182,1,-1,0,unknown
10642,no,52,management,married,tertiary,no,-2712,yes,yes,cellular,2,apr,253,1,-1,0,unknown
7277,no,59,management,married,unknown,no,3428,yes,yes,cellular,19,nov,103,1,-1,0,unknown
695,yes,32,technician,married,secondary,no,560,no,no,cellular,6,aug,1044,4,-1,0,unknown
5109,yes,48,admin.,married,primary,no,3644,yes,yes,telephone,31,jul,1039,9,-1,0,unknown
8409,no,39,management,single,tertiary,no,93,yes,yes,cellular,13,may,196,2,331,3,failure
6903,no,57,unemployed,married,primary,no,0,yes,no,cellular,20,nov,231,2,-1,0,unknown
3353,yes,22,technician,single,secondary,no,283,yes,no,cellular,22,mar,254,2,-1,0,unknown
1748,yes,45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown
640,yes,33,unemployed,married,secondary,no,-144,no,no,cellular,30,jul,481,3,-1,0,unknown
8817,no,58,retired,married,primary,no,282,yes,no,cellular,28,jul,40,4,-1,0,unknown
1802,yes,30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,286,6,failure
9126,no,47,management,married,tertiary,no,274,no,yes,cellular,4,feb,313,2,-1,0,unknown
7831,no,54,unemployed,single,tertiary,no,252,yes,no,cellular,21,jul,101,1,-1,0,unknown
4383,yes,31,blue-collar,married,secondary,no,152,yes,yes,cellular,8,jul,831,1,-1,0,unknown
4178,yes,37,admin.,married,secondary,no,0,yes,no,cellular,2,jun,107,1,-1,0,unknown
8524,no,30,management,divorced,tertiary,no,46,no,no,cellular,13,aug,382,3,-1,0,unknown
9128,no,52,admin.,married,primary,no,813,no,yes,cellular,5,aug,113,2,-1,0,unknown
85,yes,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown
6089,no,54,admin.,married,secondary,no,0,yes,yes,cellular,23,jul,117,1,-1,0,unknown
1454,yes,42,blue-collar,married,primary,no,2103,yes,no,cellular,13,apr,384,2,-1,0,unknown
2900,yes,33,management,married,tertiary,no,22867,yes,no,cellular,10,nov,266,2,92,3,failure
4555,yes,51,technician,married,secondary,no,6840,no,no,telephone,7,jul,257,1,-1,0,unknown
5245,yes,33,management,married,secondary,no,336,no,no,cellular,15,apr,179,3,-1,0,unknown
1687,yes,33,blue-collar,single,unknown,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure
10197,no,37,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46,1,-1,0,unknown
5190,yes,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown
5569,no,53,technician,married,secondary,no,4930,no,yes,cellular,2,feb,228,2,-1,0,unknown
4957,yes,25,technician,single,secondary,no,325,no,no,cellular,22,oct,716,3,-1,0,unknown
5223,yes,51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,-1,0,unknown
8129,no,50,entrepreneur,married,secondary,no,1857,no,yes,unknown,19,jun,26,2,-1,0,unknown
6547,no,39,management,married,secondary,no,13578,yes,no,cellular,21,nov,185,2,-1,0,unknown
9910,no,56,management,single,tertiary,no,6507,yes,yes,cellular,29,jan,134,1,196,1,failure
950,yes,59,management,married,tertiary,no,1783,no,yes,cellular,17,nov,540,2,-1,0,unknown
806,yes,36,management,single,tertiary,no,2944,no,no,cellular,18,aug,882,8,-1,0,unknown
1175,yes,39,admin.,married,secondary,no,130,yes,yes,cellular,4,feb,1290,2,-1,0,unknown
4452,yes,41,blue-collar,married,secondary,no,2689,yes,no,cellular,15,apr,135,1,-1,0,unknown
9439,no,52,admin.,married,secondary,no,1113,no,yes,cellular,8,jul,83,1,-1,0,unknown
10432,no,59,admin.,married,secondary,no,2552,no,yes,cellular,5,aug,125,3,-1,0,unknown
5655,no,47,technician,married,tertiary,yes,-813,yes,yes,unknown,16,jun,179,25,-1,0,unknown
6269,no,29,self-employed,single,tertiary,no,162,no,yes,cellular,25,jul,324,1,-1,0,unknown
8307,no,39,blue-collar,single,secondary,no,522,yes,no,telephone,14,may,225,7,350,2,failure
10763,no,55,services,married,tertiary,no,606,no,yes,cellular,18,nov,114,2,-1,0,unknown
6720,no,40,management,married,primary,no,738,yes,yes,cellular,2,apr,399,2,258,3,failure
1804,yes,27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success
2977,yes,29,technician,single,secondary,no,1165,no,no,cellular,3,dec,244,2,184,1,success
9477,no,50,management,married,tertiary,no,67,no,yes,unknown,20,jun,156,3,-1,0,unknown
5420,no,56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,538,2,188,4,failure
10382,no,33,management,married,tertiary,no,3301,yes,no,cellular,2,nov,131,2,171,2,failure
8161,no,35,technician,married,secondary,no,1067,no,yes,cellular,12,aug,179,6,-1,0,unknown
9591,no,36,blue-collar,married,secondary,no,537,no,yes,cellular,7,jul,206,6,-1,0,unknown
6715,no,42,admin.,married,secondary,no,281,yes,no,unknown,15,may,118,1,-1,0,unknown
10035,no,41,management,married,tertiary,no,-195,no,yes,cellular,20,nov,112,1,-1,0,unknown
9602,no,29,blue-collar,single,tertiary,no,98,no,no,cellular,10,aug,170,2,-1,0,unknown
2748,yes,51,entrepreneur,divorced,tertiary,no,2109,no,no,cellular,13,oct,79,2,-1,0,unknown
5016,yes,54,self-employed,single,tertiary,no,384,no,yes,cellular,27,may,200,1,-1,0,unknown
5615,no,47,blue-collar,married,primary,no,-245,yes,yes,unknown,12,jun,67,4,-1,0,unknown
880,yes,32,management,single,tertiary,no,769,no,no,cellular,29,aug,695,2,-1,0,unknown
6224,no,46,self-employed,married,secondary,no,567,no,no,cellular,18,jul,142,10,-1,0,unknown
845,yes,53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,unknown
10874,no,32,blue-collar,single,secondary,no,1940,yes,yes,unknown,13,may,299,3,-1,0,unknown
2413,yes,28,management,single,tertiary,no,5474,no,no,cellular,28,jul,486,5,-1,0,unknown
593,yes,37,blue-collar,single,secondary,no,5024,no,yes,cellular,25,jul,661,4,-1,0,unknown
7039,no,33,services,married,primary,no,908,yes,yes,cellular,14,jul,184,2,-1,0,unknown
1279,yes,48,management,married,tertiary,no,1808,yes,no,cellular,26,feb,245,1,-1,0,unknown
894,yes,28,student,single,secondary,no,2351,no,no,telephone,22,oct,157,1,-1,0,unknown
8718,no,55,management,married,tertiary,no,154,no,no,telephone,11,may,70,2,367,3,failure
6372,no,54,technician,married,secondary,no,0,no,no,telephone,14,aug,159,2,106,6,success
6085,no,30,blue-collar,married,secondary,no,501,yes,yes,unknown,27,may,514,1,-1,0,unknown
7193,no,30,technician,single,secondary,no,194,no,yes,cellular,27,aug,60,3,-1,0,unknown
1996,yes,42,services,married,secondary,no,146,yes,yes,cellular,15,may,670,4,346,1,failure
2955,yes,75,retired,married,tertiary,no,6027,no,no,cellular,16,nov,1248,2,94,2,failure
10388,no,35,admin.,married,secondary,no,11,yes,no,cellular,23,jul,103,4,-1,0,unknown
6316,no,33,technician,married,secondary,no,3071,yes,yes,cellular,21,jul,323,1,-1,0,unknown
648,yes,30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,-1,0,unknown
6688,no,32,blue-collar,divorced,unknown,no,291,yes,yes,unknown,27,jun,120,6,-1,0,unknown
382,yes,47,technician,single,secondary,no,-239,yes,yes,cellular,7,jul,973,3,-1,0,unknown
8156,no,52,services,married,secondary,no,-336,no,yes,unknown,12,jun,111,8,-1,0,unknown
11109,no,31,blue-collar,married,secondary,no,604,yes,no,cellular,18,nov,394,2,-1,0,unknown
5003,yes,33,management,married,tertiary,no,2599,no,no,cellular,30,apr,1373,2,-1,0,unknown
28,yes,31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown
2078,yes,26,blue-collar,single,primary,no,-887,yes,no,cellular,18,may,827,2,-1,0,unknown
6025,no,49,technician,single,secondary,no,1202,yes,no,unknown,18,jun,122,1,-1,0,unknown
10092,no,35,blue-collar,married,secondary,no,625,no,no,cellular,13,may,267,1,-1,0,unknown
10839,no,32,management,married,secondary,no,6217,yes,yes,cellular,18,nov,486,2,181,2,failure
2059,yes,31,blue-collar,single,secondary,no,239,yes,no,cellular,18,may,666,1,360,1,success
1712,yes,34,admin.,single,tertiary,no,18,yes,yes,cellular,30,apr,359,1,-1,0,unknown
4255,yes,30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown
5804,no,59,admin.,married,secondary,no,92,yes,no,cellular,12,may,139,2,350,1,failure
5610,no,55,housemaid,married,primary,no,10,no,no,cellular,4,feb,174,3,-1,0,unknown
10924,no,26,technician,single,secondary,no,124,yes,no,unknown,12,may,57,8,-1,0,unknown
7991,no,45,services,married,secondary,no,0,no,no,unknown,4,jun,153,6,-1,0,unknown
896,yes,28,self-employed,married,secondary,no,123,no,yes,telephone,22,oct,313,1,-1,0,unknown
7366,no,44,management,married,tertiary,no,445,no,yes,telephone,6,feb,135,2,9,7,other
11077,no,54,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,may,86,6,-1,0,unknown
6870,no,28,admin.,married,secondary,no,157,yes,yes,cellular,28,jul,164,2,-1,0,unknown
6388,no,51,management,divorced,tertiary,no,-2282,yes,yes,cellular,14,jul,301,6,-1,0,unknown
7435,no,34,technician,divorced,secondary,no,8,yes,no,cellular,6,may,569,2,-1,0,unknown
6471,no,31,management,married,tertiary,no,3914,no,yes,cellular,29,jan,266,1,-1,0,unknown
6714,no,32,services,married,secondary,no,1844,yes,yes,cellular,3,feb,158,4,201,6,failure
6845,no,38,technician,single,tertiary,no,69,yes,no,cellular,13,may,253,3,-1,0,unknown
7388,no,58,blue-collar,married,primary,no,494,no,no,cellular,14,aug,171,10,-1,0,unknown
5257,yes,44,self-employed,married,secondary,no,706,no,no,unknown,5,nov,204,1,-1,0,unknown
8751,no,28,services,single,secondary,no,60,no,yes,cellular,29,jan,248,1,-1,0,unknown
5700,no,26,blue-collar,single,secondary,no,-128,no,yes,cellular,8,jul,392,2,-1,0,unknown
4523,yes,58,blue-collar,single,secondary,no,119,yes,yes,cellular,12,may,985,1,-1,0,unknown
2360,yes,42,entrepreneur,married,secondary,no,2959,yes,no,telephone,2,jul,711,1,342,1,failure
7220,no,42,blue-collar,single,primary,no,-68,yes,yes,unknown,26,may,167,1,-1,0,unknown
10287,no,36,blue-collar,married,secondary,no,136,yes,no,unknown,4,jun,38,2,-1,0,unknown
7683,no,29,admin.,married,tertiary,no,167,yes,yes,cellular,13,oct,357,2,237,2,failure
515,yes,25,services,single,secondary,no,2311,no,yes,cellular,21,jul,1105,2,-1,0,unknown
8407,no,53,housemaid,married,primary,yes,945,no,no,cellular,29,jan,82,2,-1,0,unknown
4553,yes,60,self-employed,married,primary,no,362,no,yes,cellular,29,jul,816,6,-1,0,unknown
8251,no,58,management,single,tertiary,no,342,no,yes,cellular,11,jul,564,2,-1,0,unknown
7577,no,45,blue-collar,married,secondary,no,28,no,yes,cellular,4,feb,215,1,222,1,other
8925,no,32,blue-collar,single,secondary,no,1036,yes,yes,unknown,30,may,62,2,-1,0,unknown
2090,yes,45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,may,582,1,95,2,success
9222,no,42,blue-collar,divorced,primary,no,419,yes,yes,unknown,14,may,96,4,-1,0,unknown
4482,yes,31,blue-collar,married,secondary,no,0,yes,no,unknown,10,aug,97,1,782,1,other
10438,no,77,retired,married,primary,no,1492,no,no,telephone,1,sep,663,1,208,2,other
3189,yes,58,management,married,secondary,no,2155,no,yes,cellular,10,feb,135,2,92,5,success
10841,no,47,admin.,single,secondary,no,594,yes,no,unknown,7,may,161,1,-1,0,unknown
4932,yes,28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,2,-1,0,unknown
3279,yes,56,technician,married,secondary,no,1938,no,yes,cellular,26,feb,229,1,192,4,success
9812,no,36,blue-collar,divorced,secondary,no,7051,no,yes,cellular,15,jul,106,13,-1,0,unknown
1235,yes,48,management,single,tertiary,no,5689,no,no,cellular,12,feb,262,1,-1,0,unknown
324,yes,55,retired,divorced,secondary,no,1580,no,yes,unknown,19,jun,1007,1,-1,0,unknown
6952,no,44,admin.,single,secondary,no,4492,no,yes,cellular,31,jul,19,13,-1,0,unknown
3647,yes,39,technician,single,tertiary,no,393,no,no,cellular,28,jun,325,1,94,1,success
5567,no,45,blue-collar,married,secondary,no,105,yes,yes,unknown,13,may,119,1,-1,0,unknown
10048,no,34,admin.,married,secondary,no,2064,yes,no,unknown,26,may,165,2,-1,0,unknown
10836,no,30,admin.,single,secondary,no,-548,yes,yes,cellular,28,jul,70,2,-1,0,unknown
11142,no,52,admin.,divorced,secondary,no,48,no,yes,cellular,17,nov,591,1,-1,0,unknown
3228,yes,23,student,single,secondary,no,431,no,no,cellular,15,feb,201,3,186,2,success
10665,no,35,management,married,tertiary,no,4943,yes,no,cellular,18,nov,295,1,124,2,failure
9782,no,52,admin.,married,secondary,no,-462,yes,no,cellular,9,feb,172,5,-1,0,unknown
8553,no,59,blue-collar,married,secondary,no,1376,no,yes,unknown,9,may,61,4,-1,0,unknown
9233,no,57,admin.,divorced,secondary,no,3100,no,yes,cellular,29,jul,165,2,-1,0,unknown
1248,yes,44,admin.,divorced,secondary,no,397,yes,yes,cellular,16,feb,127,1,257,1,other
9621,no,35,technician,single,secondary,no,-89,yes,no,cellular,15,may,75,1,368,1,failure
7676,no,46,blue-collar,married,primary,no,-388,yes,yes,cellular,10,jul,207,1,-1,0,unknown
9985,no,31,management,single,tertiary,no,2384,yes,no,cellular,14,apr,608,2,-1,0,unknown
7863,no,31,blue-collar,married,primary,no,-454,yes,yes,unknown,28,may,861,2,-1,0,unknown
6625,no,59,admin.,married,secondary,no,2145,no,no,telephone,17,nov,273,2,-1,0,unknown
8173,no,46,admin.,married,secondary,no,171,yes,yes,cellular,11,oct,251,1,430,1,failure
6986,no,21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown
6779,no,27,admin.,single,tertiary,no,689,no,no,cellular,26,jan,98,1,307,1,failure
6693,no,37,entrepreneur,married,tertiary,yes,-456,yes,yes,unknown,20,jun,42,7,-1,0,unknown
3932,yes,61,retired,married,primary,no,56,no,no,cellular,7,sep,288,3,-1,0,unknown
9575,no,23,technician,single,secondary,no,1587,yes,yes,cellular,14,may,502,2,-1,0,unknown
10757,no,40,blue-collar,single,primary,no,1780,no,yes,unknown,11,jun,114,1,-1,0,unknown
11031,no,34,blue-collar,married,primary,no,218,yes,yes,unknown,21,may,260,1,-1,0,unknown
2336,yes,34,management,married,tertiary,no,2374,yes,yes,cellular,18,jun,270,2,314,2,failure
5365,no,46,services,divorced,secondary,no,5,yes,yes,cellular,29,jan,305,2,-1,0,unknown
5687,no,54,housemaid,married,primary,no,3304,no,yes,cellular,25,jul,90,7,-1,0,unknown
4288,yes,72,admin.,married,primary,no,2321,no,no,cellular,14,sep,221,2,64,12,failure
9579,no,37,blue-collar,single,secondary,no,197,yes,no,unknown,16,may,251,3,-1,0,unknown
1129,yes,58,management,divorced,tertiary,no,5701,no,no,cellular,2,feb,521,1,-1,0,unknown
5715,no,36,technician,married,secondary,no,1466,yes,no,unknown,29,may,441,1,-1,0,unknown
726,yes,35,management,married,tertiary,no,2957,yes,yes,cellular,8,aug,733,3,-1,0,unknown
899,yes,56,technician,married,secondary,no,589,yes,no,unknown,23,oct,518,1,147,2,success
6396,no,56,admin.,married,secondary,no,360,yes,yes,cellular,24,jul,98,2,-1,0,unknown
3860,yes,29,admin.,single,secondary,no,464,no,no,cellular,10,aug,317,2,518,1,failure
96,yes,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown
10549,no,40,blue-collar,married,secondary,no,750,yes,yes,cellular,16,apr,340,1,281,1,failure
566,yes,41,blue-collar,married,secondary,yes,720,no,yes,cellular,24,jul,651,1,-1,0,unknown
6945,no,29,management,single,tertiary,no,54,yes,yes,unknown,26,may,257,3,-1,0,unknown
9328,no,29,services,single,secondary,no,9,no,yes,cellular,8,jul,202,2,-1,0,unknown
6260,no,40,blue-collar,divorced,secondary,no,-426,no,yes,unknown,26,may,245,1,-1,0,unknown
4810,yes,28,services,married,secondary,no,510,yes,yes,cellular,8,jul,1767,2,-1,0,unknown
2998,yes,37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success
1342,yes,32,management,married,tertiary,no,8929,no,no,cellular,11,mar,126,1,-1,0,unknown
10228,no,48,blue-collar,married,primary,no,214,yes,yes,cellular,18,nov,246,1,162,1,failure
1133,yes,43,admin.,single,secondary,no,-247,yes,yes,cellular,2,feb,751,2,76,4,failure
373,yes,36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,722,3,-1,0,unknown
8094,no,47,services,married,secondary,no,311,yes,yes,cellular,12,may,238,1,301,3,failure
9290,no,48,technician,married,secondary,no,-938,yes,no,cellular,7,may,134,1,344,2,failure
9671,no,35,self-employed,married,secondary,no,28,no,yes,unknown,2,jul,159,3,-1,0,unknown
287,yes,58,admin.,married,secondary,no,826,no,no,unknown,12,jun,885,1,-1,0,unknown
4842,yes,67,retired,divorced,secondary,no,704,no,no,cellular,6,may,613,1,87,3,success
10084,no,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown
463,yes,28,management,single,tertiary,no,0,yes,no,cellular,16,jul,767,5,-1,0,unknown
9177,no,44,blue-collar,single,primary,no,1308,no,yes,unknown,19,jun,161,1,-1,0,unknown
1835,yes,50,services,married,primary,no,5024,yes,yes,cellular,7,may,661,1,267,11,other
6072,no,38,admin.,divorced,secondary,no,3834,yes,no,cellular,13,apr,363,2,327,1,failure
7901,no,49,admin.,single,secondary,no,7426,no,no,telephone,20,nov,65,2,-1,0,unknown
405,yes,49,blue-collar,married,secondary,no,0,no,yes,cellular,9,jul,625,1,-1,0,unknown
4726,yes,55,retired,divorced,secondary,no,-268,no,yes,cellular,24,jul,1417,1,-1,0,unknown
7745,no,46,blue-collar,married,primary,no,557,no,no,unknown,18,jun,89,1,-1,0,unknown
2740,yes,33,management,single,tertiary,no,1781,no,no,cellular,8,oct,611,2,183,1,success
6415,no,49,self-employed,single,tertiary,no,-341,no,yes,cellular,18,nov,920,2,-1,0,unknown
6420,no,56,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,118,1,-1,0,unknown
5470,no,45,entrepreneur,married,secondary,no,242,no,yes,cellular,4,feb,510,1,198,4,failure
8010,no,31,blue-collar,married,secondary,no,369,yes,yes,unknown,14,may,89,2,-1,0,unknown
9766,no,52,management,married,secondary,no,0,yes,yes,unknown,27,may,62,13,-1,0,unknown
6321,no,59,retired,married,secondary,no,1887,no,no,cellular,28,aug,88,8,-1,0,unknown
9258,no,46,management,married,tertiary,no,110,yes,yes,cellular,20,aug,243,5,-1,0,unknown
8521,no,45,management,married,tertiary,no,0,yes,no,cellular,5,may,469,2,342,1,failure
7920,no,51,technician,married,secondary,no,2,yes,yes,cellular,4,feb,71,1,205,3,failure
9225,no,33,management,married,tertiary,no,0,yes,yes,cellular,14,may,83,2,-1,0,unknown
6356,no,29,admin.,single,secondary,no,3794,no,no,cellular,30,apr,249,1,-1,0,unknown
610,yes,41,services,married,unknown,no,1538,no,no,cellular,29,jul,710,2,-1,0,unknown
9683,no,49,services,divorced,secondary,no,933,no,yes,cellular,29,jul,92,33,-1,0,unknown
7776,no,33,management,married,tertiary,no,0,no,no,cellular,29,aug,60,2,-1,0,unknown
1411,yes,40,management,married,secondary,no,754,no,yes,cellular,6,apr,635,1,-1,0,unknown
673,yes,55,blue-collar,married,primary,no,512,no,no,cellular,5,aug,1200,2,-1,0,unknown
5238,yes,36,admin.,single,tertiary,no,364,no,yes,cellular,31,aug,185,1,123,1,failure
6980,no,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown
4134,yes,44,management,married,tertiary,no,423,no,no,cellular,12,mar,2330,5,-1,0,unknown
5050,yes,38,technician,single,tertiary,no,508,yes,yes,cellular,12,aug,1103,2,-1,0,unknown
379,yes,45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,574,1,-1,0,unknown
344,yes,40,blue-collar,married,secondary,no,188,yes,yes,unknown,20,jun,570,2,-1,0,unknown
7063,no,40,management,married,tertiary,no,2487,no,no,cellular,30,apr,126,1,-1,0,unknown
11090,no,34,services,single,secondary,no,2257,no,yes,telephone,30,jan,568,2,-1,0,unknown
7180,no,34,admin.,divorced,secondary,no,67,yes,no,unknown,6,may,90,1,-1,0,unknown
5,yes,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown
6651,no,60,retired,married,primary,no,566,no,yes,cellular,23,jul,423,1,-1,0,unknown
4002,yes,54,services,single,secondary,no,0,no,no,cellular,23,sep,209,1,-1,0,unknown
